Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,exposure,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,LINE,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study
SRR16502361,RNA-Seq,125,2110571000,PRJNA773066,SAMN22426895,953375096,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12705321,10% EtOH in growth media,GSM5641135,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,105,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641135,female,Whole fly,SRP342318
SRR16502362,RNA-Seq,125,2089791375,PRJNA773066,SAMN22426896,955171922,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705322,10% EtOH in growth media,GSM5641136,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,105,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641136,female,Whole fly,SRP342318
SRR16502363,RNA-Seq,125,1674944250,PRJNA773066,SAMN22426897,789684467,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX12705195,10% EtOH in growth media,GSM5641137,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,105,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641137,male,Whole fly,SRP342318
SRR16502364,RNA-Seq,125,3380238500,PRJNA773066,SAMN22426898,1629352773,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12705196,10% EtOH in growth media,GSM5641138,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,105,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641138,male,Whole fly,SRP342318
SRR16502365,RNA-Seq,125,2099267500,PRJNA773066,SAMN22426899,958617175,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705197,10% EtOH in growth media,GSM5641139,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,129,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641139,female,Whole fly,SRP342318
SRR16502366,RNA-Seq,125,2095742375,PRJNA773066,SAMN22426900,979652524,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12705198,10% EtOH in growth media,GSM5641140,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,129,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641140,female,Whole fly,SRP342318
SRR16502367,RNA-Seq,125,1909372000,PRJNA773066,SAMN22426901,852107499,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12705199,10% EtOH in growth media,GSM5641141,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,129,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641141,male,Whole fly,SRP342318
SRR16502368,RNA-Seq,125,2021630125,PRJNA773066,SAMN22426902,965534274,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12705200,10% EtOH in growth media,GSM5641142,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,129,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641142,male,Whole fly,SRP342318
SRR16502369,RNA-Seq,125,1903840750,PRJNA773066,SAMN22426903,868914399,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12705201,10% EtOH in growth media,GSM5641143,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,142,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641143,female,Whole fly,SRP342318
SRR16502370,RNA-Seq,125,2294576375,PRJNA773066,SAMN22426909,1060130276,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12705202,10% EtOH in growth media,GSM5641144,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,142,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641144,female,Whole fly,SRP342318
