sample_name,source_name,Strain,sex,age
DGRP_Line_105_Female_SAMN22426895,DGRP Line 105 Female,DGRP_105,female,adult
DGRP_Line_105_Female_SAMN22426896,DGRP Line 105 Female,DGRP_105,female,adult
DGRP_Line_105_Male_SAMN22426897,DGRP Line 105 Male,DGRP_105,male,adult
DGRP_Line_105_Male_SAMN22426898,DGRP Line 105 Male,DGRP_105,male,adult
DGRP_Line_129_Female_SAMN22426899,DGRP Line 129 Female,DGRP_129,female,adult
DGRP_Line_129_Female_SAMN22426900,DGRP Line 129 Female,DGRP_129,female,adult
DGRP_Line_129_Male_SAMN22426901,DGRP Line 129 Male,DGRP_129,male,adult
DGRP_Line_129_Male_SAMN22426902,DGRP Line 129 Male,DGRP_129,male,adult
DGRP_Line_142_Female_SAMN22426903,DGRP Line 142 Female,DGRP_142,female,adult
DGRP_Line_142_Female_SAMN22426909,DGRP Line 142 Female,DGRP_142,female,adult
DGRP_Line_142_Male_SAMN22426910,DGRP Line 142 Male,DGRP_142,male,adult
DGRP_Line_142_Male_SAMN22426911,DGRP Line 142 Male,DGRP_142,male,adult
DGRP_Line_153_Female_SAMN22426904,DGRP Line 153 Female,DGRP_153,female,adult
DGRP_Line_153_Female_SAMN22426905,DGRP Line 153 Female,DGRP_153,female,adult
DGRP_Line_153_Male_SAMN22426906,DGRP Line 153 Male,DGRP_153,male,adult
DGRP_Line_153_Male_SAMN22426907,DGRP Line 153 Male,DGRP_153,male,adult
DGRP_Line_158_Female_SAMN22426908,DGRP Line 158 Female,DGRP_158,female,adult
DGRP_Line_158_Female_SAMN22426912,DGRP Line 158 Female,DGRP_158,female,adult
DGRP_Line_158_Male_SAMN22426913,DGRP Line 158 Male,DGRP_158,male,adult
DGRP_Line_158_Male_SAMN22426914,DGRP Line 158 Male,DGRP_158,male,adult
DGRP_Line_176_Female_SAMN22426915,DGRP Line 176 Female,DGRP_176,female,adult
DGRP_Line_176_Female_SAMN22426916,DGRP Line 176 Female,DGRP_176,female,adult
DGRP_Line_176_Male_SAMN22426917,DGRP Line 176 Male,DGRP_176,male,adult
DGRP_Line_176_Male_SAMN22426918,DGRP Line 176 Male,DGRP_176,male,adult
